Age,Gender,Screen Time Type,Day Type,Average Screen Time (hours),Sample Size
5,Male,Educational,Weekday,0.44,500
5,Male,Recreational,Weekday,1.11,500
5,Male,Total,Weekday,1.55,500
5,Male,Educational,Weekend,0.5,500
5,Male,Recreational,Weekend,1.44,500
5,Male,Total,Weekend,1.93,500
5,Female,Educational,Weekday,0.49,500
5,Female,Recreational,Weekday,0.96,500
5,Female,Total,Weekday,1.45,500
5,Female,Educational,Weekend,0.5,500
5,Female,Recreational,Weekend,1.4,500
5,Female,Total,Weekend,1.9,500
5,Other/Prefer not to say,Educational,Weekday,0.52,500
5,Other/Prefer not to say,Recreational,Weekday,0.98,500
5,Other/Prefer not to say,Total,Weekday,1.5,500
5,Other/Prefer not to say,Educational,Weekend,0.44,500
5,Other/Prefer not to say,Recreational,Weekend,1.51,500
5,Other/Prefer not to say,Total,Weekend,1.95,500
6,Male,Educational,Weekday,0.64,480
6,Male,Recreational,Weekday,1.39,480
6,Male,Total,Weekday,2.02,480
6,Male,Educational,Weekend,0.74,480
6,Male,Recreational,Weekend,1.75,480
6,Male,Total,Weekend,2.49,480
6,Female,Educational,Weekday,0.57,480
6,Female,Recreational,Weekday,1.37,480
6,Female,Total,Weekday,1.95,480
6,Female,Educational,Weekend,0.83,480
6,Female,Recreational,Weekend,1.63,480
6,Female,Total,Weekend,2.46,480
6,Other/Prefer not to say,Educational,Weekday,0.59,480
6,Other/Prefer not to say,Recreational,Weekday,1.41,480
6,Other/Prefer not to say,Total,Weekday,2.0,480
6,Other/Prefer not to say,Educational,Weekend,0.58,480
6,Other/Prefer not to say,Recreational,Weekend,1.91,480
6,Other/Prefer not to say,Total,Weekend,2.49,480
7,Male,Educational,Weekday,0.8,460
7,Male,Recreational,Weekday,1.75,460
7,Male,Total,Weekday,2.55,460
7,Male,Educational,Weekend,1.08,460
7,Male,Recreational,Weekend,2.14,460
7,Male,Total,Weekend,3.22,460
7,Female,Educational,Weekday,0.81,460
7,Female,Recreational,Weekday,1.61,460
7,Female,Total,Weekday,2.42,460
7,Female,Educational,Weekend,0.66,460
7,Female,Recreational,Weekend,2.53,460
7,Female,Total,Weekend,3.19,460
7,Other/Prefer not to say,Educational,Weekday,0.76,460
7,Other/Prefer not to say,Recreational,Weekday,1.74,460
7,Other/Prefer not to say,Total,Weekday,2.5,460
7,Other/Prefer not to say,Educational,Weekend,0.75,460
7,Other/Prefer not to say,Recreational,Weekend,2.28,460
